Date,PKR,USD
2012-11-29,96.548596,1.0
2012-11-30,96.638147,1.0
2012-12-01,96.582547,1.0
2012-12-02,96.598107,1.0
2012-12-03,96.606632,1.0
2012-12-04,96.552453,1.0
2012-12-05,96.625692,1.0
2012-12-06,96.574651,1.0
2012-12-07,96.663732,1.0
2012-12-08,96.674962,1.0
2012-12-09,96.746572,1.0
2012-12-10,96.9444,1.0
2012-12-11,97.077575,1.0
2012-12-12,97.079064,1.0
2012-12-13,97.393088,1.0
2012-12-14,97.538787,1.0
2012-12-15,97.566251,1.0
2012-12-16,97.464849,1.0
2012-12-17,97.875701,1.0
2012-12-18,97.781297,1.0
2012-12-19,97.873611,1.0
2012-12-20,97.498051,1.0
2012-12-21,97.616554,1.0
2012-12-22,97.586934,1.0
2012-12-23,97.630144,1.0
2012-12-24,97.602578,1.0
2012-12-25,97.686126,1.0
2012-12-26,97.44104,1.0
2012-12-27,97.543318,1.0
2012-12-28,97.407934,1.0
2012-12-29,97.313813,1.0
2012-12-30,97.253326,1.0
2012-12-31,97.267494,1.0
2013-01-01,97.17423,1.0
2013-01-02,97.406594,1.0
2013-01-03,97.475652,1.0
2013-01-04,97.534092,1.0
2013-01-05,97.521752,1.0
2013-01-06,97.425532,1.0
2013-01-07,97.353802,1.0
2013-01-08,97.49838,1.0
2013-01-09,97.27741,1.0
2013-01-10,96.897188,1.0
2013-01-11,97.326275,1.0
2013-01-12,97.311015,1.0
2013-01-13,97.121995,1.0
2013-01-14,97.207115,1.0
2013-01-15,97.380891,1.0
2013-01-16,97.610458,1.0
2013-01-17,97.617128,1.0
2013-01-18,97.701937,1.0
2013-01-19,97.69464,1.0
2013-01-20,97.79821,1.0
2013-01-21,97.752441,1.0
2013-01-22,97.775082,1.0
2013-01-23,97.691985,1.0
2013-01-24,97.666673,1.0
2013-01-25,97.742132,1.0
2013-01-26,97.704392,1.0
2013-01-27,97.665672,1.0
2013-01-28,97.709281,1.0
2013-01-29,97.583238,1.0
2013-01-30,97.710907,1.0
2013-01-31,97.62765,1.0
2013-02-01,97.786591,1.0
2013-02-02,97.761981,1.0
2013-02-03,97.7499,1.0
2013-02-04,97.919501,1.0
2013-02-05,97.767109,1.0
2013-02-06,97.940813,1.0
2013-02-07,98.134424,1.0
2013-02-08,97.908272,1.0
2013-02-09,98.056472,1.0
2013-02-10,98.054222,1.0
2013-02-11,97.985077,1.0
2013-02-12,98.054499,1.0
2013-02-13,98.118451,1.0
2013-02-14,98.011939,1.0
2013-02-15,98.105989,1.0
2013-02-16,98.067139,1.0
2013-02-17,97.951226,1.0
2013-02-18,98.105149,1.0
2013-02-19,98.125528,1.0
2013-02-20,98.258787,1.0
2013-02-21,98.121602,1.0
2013-02-22,98.18589,1.0
2013-02-23,98.106379,1.0
2013-02-24,98.048439,1.0
2013-02-25,98.538832,1.0
2013-02-26,98.191502,1.0
2013-02-27,98.306229,1.0
2013-02-28,98.320816,1.0
2013-03-01,98.196891,1.0
2013-03-02,98.293456,1.0
2013-03-03,98.233025,1.0
2013-03-04,98.107075,1.0
2013-03-05,98.218316,1.0
2013-03-06,98.19178,1.0
2013-03-07,98.158288,1.0
2013-03-08,97.913921,1.0
2013-03-09,97.761782,1.0
2013-03-10,98.036682,1.0
2013-03-11,97.777748,1.0
2013-03-12,97.864127,1.0
2013-03-13,97.924139,1.0
2013-03-14,97.595225,1.0
2013-03-15,98.024625,1.0
2013-03-16,97.964237,1.0
2013-03-17,98.227465,1.0
